"lemma","poscode","surface"
"Ar-condicionado","3","Ar-condicionado","ar-condicionado"
"porta-trecos","3","porta-trecos","Porta-trecos"
"velocímetro digital","3","velocímetro digital"
"tela","3","tela"
"painel","3","painel"
"acessórios","3","acessórios"
"multimídia","3","multimídia"
"porta óculos","3","porta óculos"
"porta objeto","3","porta objeto"
"equipamento","3","equipamento","equipamentos","Equipamento","equipamentos"
"computador","3","computador"
"Luz","3","Luz","luz"
"iluminação","3","iluminação","Iluminação"
"Ar condicionado","3","Ar condicionado","ar condicionado"
"Rádio","3","Rádio","rádio"
"som","3","som","Som"
