"lemma","poscode","surface"
"Design","3","Design","design"
"Aparência","3","Aparência","aparência"
"linhas","4","linhas","Linhas"
"Estilo","3","Estilo","estilo"
"acabamento","3","acabamento","Acabamento"
"teto","3","teto","Teto"
"personalidade","3","personalidade","Personalidade"
"Faróis","3","Faróis","faróis"
"Farois","3","Farois","farois"
"Visual","3","Visual","visual"
