"lemma","poscode","surface"
"motor","3","motor","Motor"
"desempenho","3","desempenho","Desempenho"
"arrancada","3","arrancada","arrancadas"
"câmbio","3","câmbio","Câmbio"
"cambio","3","cambio","Cambio"
"marcha","3","marcha","Marcha"
"marchas","3","marchas","Marchas"
"Potência","3","Potência","potência"
"direção","3","direção","Direção"
"Volante","3","Volante","volante"
