"lemma","poscode","surface"
"Manutenção","3","Manutenção","manutenção"
"Peças","3","Peças","peças"
"Manutenções","3","Manutenções","manutenções"
"mão de obra","3","mão de obra"
"mecânica","3","mecânica","Mecânica"
"Mecânico","3","Mecânico","mecânico","Mecânicos","mecânicos"
