"lemma","poscode","surface"
"conforto","3","conforto","Conforto"
"espaço","3","espaço","Espaço"
"Banco","3","Banco","banco"
"suspensão","3","suspensão","Suspensão"
"bancos","3","bancos","Bancos"
"porta-malas","3","porta-malas","Porta-malas"
"Porta malas","3","Porta malas","porta malas"
"apoio de braço","3","apoio de braço","Apoio de braço"
"confortáveis","3","confortáveis","Confortáveis"
